timestamp,value
2023-09-01T03:03:30Z,50.0
2023-09-01T03:04:30Z,85.2
2023-09-01T03:05:30Z,84.8
2023-09-01T03:06:30Z,83.6
2023-09-01T03:07:30Z,82.8
2023-09-01T03:08:30Z,80.9
2023-09-01T03:09:30Z,79.5
2023-09-01T03:10:30Z,80.3
2023-09-01T03:11:30Z,79.9
2023-09-01T03:12:30Z,80.1
2023-09-01T03:13:30Z,79.8
2023-09-01T03:14:30Z,78.5
2023-09-01T03:15:30Z,78.5
2023-09-01T03:16:30Z,79.0
2023-09-01T03:17:30Z,79.4
2023-09-01T03:18:30Z,79.8
2023-09-01T03:19:30Z,81.5
2023-09-01T03:20:31Z,81.7
2023-09-01T03:21:31Z,80.6
2023-09-01T03:22:31Z,80.0
2023-09-01T03:23:31Z,82.1
2023-09-01T03:24:31Z,83.0
2023-09-01T03:25:31Z,83.3
2023-09-01T03:26:31Z,82.6
2023-09-01T03:27:31Z,82.6
2023-09-01T03:28:31Z,81.2
2023-09-01T03:29:31Z,82.6
2023-09-01T03:30:31Z,81.7
2023-09-01T03:31:31Z,81.2
2023-09-01T03:32:31Z,82.3
2023-09-01T03:33:31Z,83.9
2023-09-01T03:34:31Z,84.0
2023-09-01T03:35:32Z,85.6
2023-09-01T03:36:32Z,86.7
2023-09-01T03:37:32Z,87.6
2023-09-01T03:38:32Z,89.0
2023-09-01T03:39:32Z,88.7
2023-09-01T03:40:32Z,90.2
2023-09-01T03:41:32Z,50.0
2023-09-01T03:42:32Z,90.6
2023-09-01T03:43:32Z,91.9
2023-09-01T03:44:32Z,92.5
2023-09-01T03:45:32Z,93.1
2023-09-01T03:46:32Z,94.0
2023-09-01T03:47:32Z,50.0
2023-09-01T03:48:33Z,94.0
2023-09-01T03:49:33Z,92.8
2023-09-01T03:50:33Z,92.6
2023-09-01T03:51:33Z,92.4
2023-09-01T03:52:33Z,50.0
2023-09-01T03:53:33Z,50.0
2023-09-01T03:54:33Z,50.0
2023-09-01T03:55:33Z,91.0
2023-09-01T03:56:33Z,89.0
2023-09-01T03:57:33Z,87.6
2023-09-01T03:58:33Z,87.6
2023-09-01T03:59:33Z,88.4
2023-09-01T04:00:33Z,89.2
2023-09-01T04:01:33Z,89.6
2023-09-01T04:02:34Z,90.1
2023-09-01T04:03:34Z,90.4
2023-09-01T04:04:34Z,90.5
2023-09-01T04:05:34Z,91.0
2023-09-01T04:06:34Z,91.7
2023-09-01T04:07:34Z,92.0
2023-09-01T04:08:34Z,92.4
2023-09-01T04:09:34Z,92.8
2023-09-01T04:10:34Z,92.7
2023-09-01T04:11:34Z,92.6
2023-09-01T04:12:34Z,92.9
2023-09-01T04:13:34Z,93.0
2023-09-01T04:14:34Z,50.0
2023-09-01T04:15:34Z,91.2
2023-09-01T04:16:34Z,93.2
2023-09-01T04:17:35Z,94.3
2023-09-01T04:18:35Z,50.0
2023-09-01T04:19:35Z,94.7
2023-09-01T04:20:35Z,50.0
2023-09-01T04:21:35Z,94.6
2023-09-01T04:22:35Z,94.4
2023-09-01T04:23:35Z,93.9
2023-09-01T04:24:35Z,93.5
2023-09-01T04:25:35Z,93.5
2023-09-01T04:26:35Z,92.5
2023-09-01T04:27:35Z,92.1
2023-09-01T04:28:35Z,92.0
2023-09-01T04:29:35Z,91.6
2023-09-01T04:30:35Z,50.0
2023-09-01T04:31:35Z,92.1
2023-09-01T04:32:35Z,90.8
2023-09-01T04:33:36Z,89.9
2023-09-01T04:34:36Z,89.2
2023-09-01T04:35:36Z,89.1
2023-09-01T04:36:36Z,88.9
