date_time,heart_zone_id,total_minutes
2023-06-02T09:24,FAT_BURN,1
2023-06-02T09:25,FAT_BURN,1
2023-06-02T09:26,FAT_BURN,1
2023-06-02T09:27,FAT_BURN,1
2023-06-02T16:05,FAT_BURN,1
2023-06-02T16:06,FAT_BURN,1
2023-06-02T16:07,FAT_BURN,1
2023-06-02T16:08,FAT_BURN,1
2023-06-02T16:15,FAT_BURN,1
2023-06-02T16:30,FAT_BURN,1
2023-06-02T16:31,FAT_BURN,1
2023-06-02T16:32,FAT_BURN,1
2023-06-02T16:33,FAT_BURN,1
2023-06-02T16:34,FAT_BURN,1
2023-06-02T16:47,FAT_BURN,1
2023-06-03T09:34,FAT_BURN,1
2023-06-03T12:33,FAT_BURN,1
2023-06-03T12:34,FAT_BURN,1
2023-06-03T15:52,FAT_BURN,1
2023-06-03T16:00,FAT_BURN,1
2023-06-03T16:01,FAT_BURN,1
2023-06-03T16:02,FAT_BURN,1
2023-06-03T16:28,FAT_BURN,1
2023-06-03T16:40,FAT_BURN,1
2023-06-03T16:41,FAT_BURN,1
2023-06-03T16:42,FAT_BURN,1
2023-06-04T12:50,FAT_BURN,1
2023-06-04T12:51,FAT_BURN,1
2023-06-04T12:52,FAT_BURN,1
2023-06-04T12:53,FAT_BURN,1
2023-06-04T12:56,FAT_BURN,1
2023-06-04T12:57,FAT_BURN,1
2023-06-04T12:58,FAT_BURN,1
2023-06-04T12:59,FAT_BURN,1
2023-06-04T13:00,FAT_BURN,1
2023-06-04T13:01,FAT_BURN,1
2023-06-04T13:02,FAT_BURN,1
2023-06-04T14:33,FAT_BURN,1
2023-06-04T14:34,FAT_BURN,1
2023-06-04T14:35,FAT_BURN,1
2023-06-04T14:36,FAT_BURN,1
2023-06-04T14:37,FAT_BURN,1
2023-06-04T14:38,FAT_BURN,1
2023-06-04T14:39,FAT_BURN,1
2023-06-04T14:40,FAT_BURN,1
2023-06-04T14:41,FAT_BURN,1
2023-06-04T14:42,FAT_BURN,1
2023-06-04T14:43,FAT_BURN,1
2023-06-04T14:44,FAT_BURN,1
2023-06-04T14:45,FAT_BURN,1
2023-06-04T14:46,FAT_BURN,1
2023-06-04T14:47,FAT_BURN,1
2023-06-04T14:48,FAT_BURN,1
2023-06-04T14:49,FAT_BURN,1
2023-06-04T14:50,FAT_BURN,1
2023-06-04T14:51,FAT_BURN,1
2023-06-04T14:52,FAT_BURN,1
2023-06-04T14:53,FAT_BURN,1
2023-06-04T14:54,FAT_BURN,1
2023-06-04T14:55,FAT_BURN,1
2023-06-04T14:56,FAT_BURN,1
2023-06-04T14:58,FAT_BURN,1
2023-06-04T14:59,FAT_BURN,1
2023-06-04T15:00,FAT_BURN,1
2023-06-04T15:01,FAT_BURN,1
2023-06-04T15:02,FAT_BURN,1
2023-06-04T15:03,FAT_BURN,1
2023-06-04T15:04,FAT_BURN,1
2023-06-04T15:07,FAT_BURN,1
2023-06-04T15:08,FAT_BURN,1
2023-06-04T15:09,FAT_BURN,1
2023-06-04T15:10,FAT_BURN,1
2023-06-04T15:11,FAT_BURN,1
2023-06-04T15:12,FAT_BURN,1
2023-06-04T15:18,FAT_BURN,1
2023-06-04T15:32,FAT_BURN,1
2023-06-04T15:33,FAT_BURN,1
2023-06-04T15:46,FAT_BURN,1
2023-06-04T15:47,FAT_BURN,1
2023-06-04T16:07,FAT_BURN,1
2023-06-04T16:08,FAT_BURN,1
2023-06-04T16:19,FAT_BURN,1
2023-06-05T13:30,FAT_BURN,1
2023-06-05T14:21,FAT_BURN,1
2023-06-05T15:08,FAT_BURN,1
2023-06-05T15:09,FAT_BURN,1
2023-06-05T15:10,FAT_BURN,1
2023-06-05T15:11,FAT_BURN,1
